I'm sad.	悲しいです。
I have that kind of impression.	私には、そんな印象が有る
I got a Japanese impression.	私は日本的なイメージを受けます
There is no cash at all on hand.	手元には現金が全く無い
I really find happiness in X.	私はXにしみじみ幸せを感じる
Be sure to fill in your name.	必ず自分の名前を入れましょう
She gives off that impression.	彼女がそんな感じに見えます
He eats lunch at a restaurant.	彼がレストランで昼食をとる
It's much gentler to the skin.	そのほうが、肌にはやさしい
He told X to be careful again.	彼がXに改めて注意を促した
Click here to see the photo.	クリックすると写真がみられます
A hand touches my cheek gently.	手がそっと私の頬に触れる
Experts sounded the alarm on X.	Xに専門家が警鐘を鳴らす
It has the same composition as X.	Xと構図が全く一緒だ
I can't drink any alcohol at all.	私は全く酒が飲めない
What did I do to deserve this?	何で私がこんな目にあうのか
I have a gripping pain here.	ここが差し込むように痛みます。
My parents let me go there.	両親は私をそこへ行かせてくれた。
How long will the storm last?	嵐はいつまで続くのだろうか。
Explain it in plain words.	易しい言葉でそれを説明して下さい。
The trees will soon be bare.	木はまもなく葉が落ちるだろう。
I'm going to see her tomorrow.	明日彼女に会うつもりです。
I'm going to meet him tomorrow.	明日彼に会うつもりです。
Are you booked for tomorrow?	明日は予定が決まっていますか。
I believe it will snow tomorrow.	明日は雪になると思う。
It ought to be fine tomorrow.	明日は晴れるに決まっている。
Will it be fine weather tomorrow?	明日は晴れだろうか。
What time do we leave tomorrow?	明日は何時の出発ですか。
I'll call at your house tomorrow.	明日お宅に伺います。
Mind you call me up tomorrow.	明日、必ず私に電話を下さい。
A friend's coming over tomorrow.	明日、家に友達が来る。
I'm going to fly to the moon.	僕は月へ飛んで行くつもりさ。
I agree with you absolutely.	僕は君の意見に完全に同意する。
I can't afford to pay so much.	僕にはそんな金は出せない。
I'm going to climb Mt. Kitadake.	北岳に登るつもりです。
Mother prepared us lunch.	母は私たちの昼食のしたくをしていた。
Mom didn't look calm enough.	母は穏やかではないようだった。
The service charge is extra.	別にサービス料を申し受けます。
An army travels on its stomach.	腹がへっては戦ができぬ。
Take your hat off in the room.	部屋では帽子を取りなさい。
Father bought me a camera.	父は私にカメラを買ってくれました。
My father runs a restaurant.	父はレストランを経営している。
My father's head has turned gray.	父の頭は白くなった。
I generally have lunch there.	普通はそこで昼食を食べます。
She prides herself on her beauty.	美貌を自慢している。
The expense will fall on him.	費用は彼の負担になるだろう。
It's pride that drives her.	彼女を支えているのは自尊心です。
She is made to be an editor.	彼女は編集の仕事にむいている。
She had better eat breakfast.	彼女は朝食を食べた方がいい。
She laid herself on the grass.	彼女は草の上に横になった。
She is easily moved to emotion.	彼女は情に流されやすい。
She ended up a movie star.	彼女は最後に映画のスターになった。
She was bursting with health.	彼女は健康ではちきれそうだ。
She's not the marrying type.	彼女は結婚するタイプではない。
She was arrested by the police.	彼女は警察に逮捕された。
She saw herself in the mirror.	彼女は鏡で自分の姿を見た。
She has a friendly appearance.	彼女は気さくな人のようだ。
She pulled down the blinds.	彼女はブラインドを引きおろした。
She swears by that brand.	彼女はあの銘柄が一番だと思っている。
She is a bit like her mother.	彼女は、母親に少し似ている。
Her jokes made us all laugh.	彼女の冗談のためみんな笑った。
What do you think of her poem?	彼女の詩をどう思いますか。
When will her wedding be held?	彼女の結婚式はいつですか。
It is no use giving her advice.	彼女に忠告しても無駄だ。
They denied her any help.	彼らは彼女に何の援助も与えなかった。
They fight like cat and dog.	彼らは熱烈にいがみ合っている。
They cleared the road of snow.	彼らは道路の雪かきをした。
They found the stolen money.	彼らは盗まれたお金を見つけた。
They forgot to lock the door.	彼らは錠を下ろすのを忘れた。
They adopted the little girl.	彼らはその少女を養女にした。
He let on that he was a lawyer.	彼は弁護士のふりをした。
He should have been a lawyer.	彼は弁護士になるべきだった。
I wonder if he's really sick.	彼は病気なのではないかしら。
He pushed the emergency button.	彼は非常ボタンをおした。
He collapsed at her feet.	彼は彼女の足元に崩れるように倒れた。
He repeated the same mistake.	彼は同じ間違いを繰り返した。
He took a walk before breakfast.	彼は朝食前に散歩した。
He is too fat to run fast.	彼は速く走るには太りすぎています。
I doubt whether he is honest.	彼は正直かどうか疑っている。
He said grace before eating.	彼は食べる前にお祈りを言った。
He was asleep during the lesson.	彼は授業中眠っていた。
He belongs to the camera club.	彼は写真部に所属している。
He claims that he is honest.	彼は自分が正直だと言っている。
He was refused medical treatment.	彼は治療を断られた。
He is senior to me by two years.	彼は私より２つ年上だ。
He took no notice of my advice.	彼は私の忠告を無視した。
He repaired my watch for me.	彼は私の時計を修理してくれた。
He tapped me on the shoulder.	彼は私の肩をぽんとたたいた。
