I like tea.	私はお茶が好きです。
Didn't you see a dog pass through the yard?	君は犬が庭を通り抜けて行くのを見なかったかい。
Do you ever dream about flying through the sky?	君は空を飛ぶ夢を見る事がありますか。
You must come back before nine o'clock.	君は九時前に帰らなければならない。
Are you trying to fish in troubled waters?	君は漁夫の利を占めようとしているのか。
You must act in accordance with the rules.	君は規則に従って行動しなければならない。
He is, indeed, a man of his word.	君は確かに約束を守る人だ。
Indeed you know a lot of things, but you're not good at teaching them.	君は確かに物知りだが、それを教えるのはうまくない。
You like fruit.	君は果物が好きだ。
You've worked hard for months and have certainly earned a holiday.	君は何ヶ月もよく働いたのだから休暇をもらったのは当然のことだ。
You don't have enough push.	君は押しが足りない。
You'll never be alone.	君は一人じゃない。
I'm surprised that you're so naïve.	君は意外に純情だね。
Did you break the window on purpose or by accident?	君はわざと窓をこわしたのか、それとも偶然にか。
You are too ready to speak ill of others.	君はよく人の悪口を言う。
Have you solved all the problems yet?	君はもう問題を全部解いたのですか。
You haven't washed your hands yet, have you?	君はまだ手を洗っていませんね。
That's very sweet of you.	君はとてもやさしいんだね。
What has made you decide to work for our company?	君はどうして私たちの会社で働く決心をしたのですか。
Do you not play tennis?	君はテニスをしないのですか。
You don't like chocolate, do you?	君はチョコレートが好きでないですよね？
All you have to do is wash the dishes.	君はただ皿を洗いさえすればいい。
You had better not repeat such an error.	君はそんな間違いをくり返さない方がよい。
Could you solve the problem?	君はその問題を解くことができましたか。
You should have introduced yourself to the girl.	君はその娘さんに自己紹介すべきだった。
Have you finished reading the novel?	君はその小説を読み終えましたか。
You have a responsibility to explain that behavior to me.	君はその行為について、僕に説明する義務がある。
You shouldn't have eaten the fish raw.	君はその魚を生で食べるべきではなかった。
You have to raise funds for the relief work.	君はその救済事業の資金を集めなければならない。
Did you tape that concert?	君はそのコンサートをテープにとったか。
You will be delayed for only thirty minutes at worst.	君はせいぜい３０分しか遅れないだろう。
